month,avg_aqi
January,163.48387096774192
February,154.89285714285714
March,100.45161290322581
April,69.9
May,54.70967741935484
June,38.166666666666664
July,38.935483870967744
August,36.064516129032256
September,58.1
October,95.64516129032258
November,154.63333333333333
December,173.09677419354838
