month,avg_aqi
January,104.64516129032258
February,93.78571428571429
March,77.87096774193549
April,62.233333333333334
May,76.09677419354838
June,45.1
July,37.0
August,34.32258064516129
September,49.333333333333336
October,96.03225806451613
November,114.36666666666666
December,145.06451612903226
