month,avg_aqi
January,285.6774193548387
February,245.0
March,128.2258064516129
April,109.7
May,143.74193548387098
June,123.26666666666667
July,83.80645161290323
August,63.87096774193548
September,118.7
October,265.4193548387097
November,327.93333333333334
December,331.8709677419355
