month,avg_aqi
January,81.54838709677419
February,76.32142857142857
March,61.806451612903224
April,47.3
May,59.354838709677416
June,81.63333333333334
July,76.70967741935483
August,61.16129032258065
September,63.56666666666667
October,63.29032258064516
November,73.63333333333334
December,76.35483870967742
