month,avg_aqi
January,86.7741935483871
February,87.92857142857143
March,84.90322580645162
April,56.233333333333334
May,60.25806451612903
June,46.733333333333334
July,38.67741935483871
August,47.54838709677419
September,48.63333333333333
October,63.87096774193548
November,69.8
December,83.41935483870968
